months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,fraud_reported,loss_ratio,profitability,vehicle_age,age_group,Parked Car,Single Vehicle Collision,Vehicle Theft,Rear Collision,Side Collision,Fire,Other,Police,Minor Damage,Total Loss,Trivial Damage,250/500,500/1000,incident_year,incident_month,incident_day,policy_bind_year,policy_bind_month,policy_bind_day
276,46,140880,1,500,1448.84,0,430987,1,5,6,3,0,0,-50000,4,2,767,7,1,0,0,1,0,5940,660,660,4620,12,18,0,0.34165263245078825,11446.079999999998,10,3,1,0,0,1,0,0,0,1,0,0,1,1,0,2015,2,21,2005,3,29
3,29,276804,1,500,995.7,5000000,615446,1,3,8,5,4,0,0,3,6,90,3,1,0,2,1,0,5000,500,1000,3500,8,12,1,0.41846607077098186,6948.4000000000015,17,1,1,0,0,1,0,0,0,1,0,0,1,0,0,2015,2,2,1992,11,27
290,47,885789,2,1000,1393.34,0,472922,0,2,3,3,2,0,-61400,6,3,439,20,3,1,1,3,1,56160,6240,12480,37440,1,5,0,3.358835603657399,-39439.92,23,3,0,0,0,0,1,0,0,0,1,0,0,1,0,2015,1,15,2008,7,21
342,53,110408,2,1000,1028.44,0,602304,1,1,9,7,1,0,0,4,6,846,12,1,0,0,0,0,80960,14720,7360,58880,0,23,0,6.56009749393904,-68618.72,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,1,26,2005,11,14
256,41,227811,1,2000,1415.74,6000000,608117,1,6,1,2,4,48900,-62400,2,0,669,5,1,0,1,2,0,63400,6340,6340,50720,3,34,1,3.7318528355018104,-46411.119999999995,11,2,0,1,0,0,0,0,0,1,0,0,0,1,0,2015,1,10,1990,5,25
190,35,284836,2,500,1484.72,5000000,432699,1,2,12,9,0,0,0,1,5,521,4,1,0,0,1,0,3840,640,320,2880,10,1,0,0.21552885392531926,13976.64,27,1,1,0,0,1,0,0,0,1,0,0,1,1,0,2015,2,2,2008,11,5
70,26,558938,0,1000,1199.44,5000000,619884,0,1,6,10,3,63600,0,1,5,459,0,3,0,1,2,1,52110,5790,5790,40530,9,26,0,3.620439538451277,-37716.72,13,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2015,2,22,2005,6,8
269,41,334749,0,2000,1422.21,0,620507,1,0,5,14,4,0,-46400,6,5,451,21,1,1,2,1,0,85900,17180,17180,51540,11,15,1,5.033246379461073,-68833.48,20,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2015,1,16,1996,7,29
73,26,918777,1,2000,1191.19,4000000,468813,0,4,4,1,1,29300,0,5,4,287,9,3,0,0,1,1,40160,5020,0,35140,3,34,0,2.8095154145574313,-25865.72,22,1,0,0,0,1,0,0,1,0,0,1,0,1,0,2015,2,12,2003,4,4
116,34,616337,2,500,1737.66,0,470577,0,0,13,5,4,0,-24100,6,4,520,1,1,0,1,1,0,97080,16180,16180,64720,2,37,1,4.655686382836688,-76228.08,24,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2015,1,1,2012,8,30
86,26,391652,0,500,1382.88,7000000,434923,0,3,12,6,2,0,-30300,4,3,142,11,1,0,1,1,1,81840,14880,7440,59520,3,25,1,4.931736665509661,-65245.44,14,1,0,1,0,1,0,0,0,1,1,0,0,0,0,2015,1,12,1998,10,12
238,43,444035,0,1000,1524.45,4000000,607458,0,2,5,5,5,0,-44800,0,2,259,21,4,0,0,0,0,42700,4270,4270,34160,10,1,1,2.33417516700012,-24406.6,30,2,0,0,0,1,0,0,0,0,0,1,0,1,0,2015,2,16,1996,5,11
136,32,686522,2,500,1169.62,0,458143,1,3,11,19,1,0,0,4,0,787,6,1,1,0,0,0,55000,10000,10000,35000,12,9,1,3.9186516418437902,-40964.56,17,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2015,2,4,2000,12,27
254,40,463513,1,500,1390.89,5000000,453719,0,1,1,3,5,0,-74400,1,5,607,23,1,0,2,2,0,53460,9720,4860,38880,13,20,0,3.202985139011712,-36769.32,16,2,0,1,0,0,0,0,1,0,1,0,0,1,0,2015,2,28,1995,4,23
197,41,500639,0,1000,1324.78,0,478640,1,6,9,1,1,0,-64500,0,4,886,6,1,0,2,2,1,76400,15280,7640,53480,13,20,1,4.805829395572598,-60502.64,28,2,0,1,0,0,0,0,0,1,0,0,0,0,1,2015,1,10,1996,6,27
298,49,795004,0,500,862.92,0,448809,0,4,6,4,5,0,-71700,1,4,608,16,3,0,0,2,0,69480,11580,11580,46320,10,3,0,6.709776109025171,-59124.96,18,3,0,0,0,0,1,0,1,0,0,0,0,1,0,2015,1,17,1998,3,16
271,42,307447,1,500,1515.3,0,603248,1,2,6,10,1,0,0,4,3,973,21,3,0,1,0,0,93720,17040,8520,68160,8,24,0,5.1540948986999275,-75536.4,20,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2015,1,19,1990,3,17
256,39,104594,0,1000,1351.1,0,478456,1,6,12,3,4,0,0,4,0,891,19,3,0,0,2,0,64100,6410,6410,51280,10,3,1,3.9535686971109962,-47886.8,22,2,0,0,0,1,0,1,0,0,0,0,0,1,0,2015,1,2,2006,10,12
256,41,227811,1,2000,1415.74,6000000,608117,1,6,1,2,4,48900,-62400,2,0,669,5,1,0,1,2,0,63400,6340,6340,50720,3,34,1,3.7318528355018104,-46411.119999999995,11,2,0,1,0,0,0,0,0,1,0,0,0,1,0,2015,1,10,1990,5,25
121,34,626808,0,1000,936.61,0,464652,1,4,1,3,5,52800,-32800,4,6,622,5,1,0,1,1,0,7280,1120,1120,5040,12,18,0,0.6477260190118264,3959.3199999999997,15,1,1,0,0,1,0,0,0,1,1,0,0,0,0,2015,1,8,2012,10,26
261,46,156636,2,1000,870.55,0,465631,0,6,9,4,4,0,-49400,4,6,55,19,1,0,0,3,0,80280,13380,13380,53520,3,34,0,7.684796967434382,-69833.4,12,3,0,1,0,1,0,0,1,0,1,0,0,0,0,2015,1,27,2000,9,10
147,33,129872,0,1000,1334.15,6000000,479224,0,2,2,15,1,53300,-49200,6,6,233,15,1,1,2,0,1,53100,10620,5310,37170,8,7,1,3.316718509912678,-37090.2,30,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,1,24,2010,8,8
334,47,156694,1,500,1238.89,0,600561,0,5,10,17,2,0,0,6,3,916,3,1,0,0,3,0,6240,960,960,4320,5,16,0,0.41973056526406705,8626.68,14,3,0,0,1,1,0,0,0,1,1,0,0,0,1,2015,1,31,2001,5,24
10,19,216738,2,1000,1185.78,0,478837,1,3,2,19,5,0,-60700,0,3,995,5,1,0,0,2,0,48950,4450,8900,35600,0,33,1,3.4400703896731826,-34720.64,14,0,0,1,0,0,1,0,0,1,1,0,0,1,0,2015,2,1,2014,8,5
146,31,411289,0,2000,1082.72,0,478661,1,6,6,18,1,61400,-57500,4,3,356,3,1,1,2,0,0,5220,580,580,4060,0,23,0,0.4017659228609428,7772.639999999999,10,1,0,0,1,1,0,0,0,1,1,0,0,1,0,2015,1,15,1997,9,16
61,23,127754,1,2000,1136.83,4000000,471300,1,0,12,8,3,0,-62400,1,1,31,14,1,0,0,3,0,98340,8940,17880,71520,6,6,1,7.2086415734982365,-84698.04000000001,21,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2015,2,2,1993,6,6
290,42,135400,2,500,989.97,0,462519,0,5,6,11,3,32500,0,6,2,285,10,1,0,0,1,0,48000,4800,9600,33600,10,3,0,4.040526480600422,-36120.36,12,2,0,1,0,1,0,0,0,0,1,0,0,0,1,2015,1,20,2014,1,20
190,40,390381,0,2000,965.21,0,610354,1,3,3,4,2,36900,-53700,4,2,826,10,1,0,2,1,1,6300,630,630,5040,9,35,0,0.543923084095689,5282.52,24,2,1,0,0,1,0,0,0,1,0,0,1,0,1,2015,2,2,2007,1,27
65,30,396224,2,500,1455.65,4000000,616706,1,1,13,16,5,0,-66300,6,2,234,6,3,0,2,3,0,79800,15960,7980,55860,6,10,0,4.568405866794902,-62332.2,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2015,2,15,2009,9,8
230,41,736771,2,1000,1464.03,0,444797,0,3,13,17,3,0,0,1,6,100,19,3,0,2,0,0,53040,4420,4420,44200,1,4,0,3.0190638169982855,-35471.64,19,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2015,2,8,1991,12,14
140,32,713172,1,1000,985.97,5000000,457793,1,1,10,6,2,0,0,5,4,683,13,1,0,2,3,0,82170,14940,7470,59760,3,32,1,6.944937472742579,-70338.36,30,1,0,1,0,0,1,1,0,0,0,0,0,1,0,2015,2,1,1996,10,23
116,30,996253,2,500,951.46,0,467227,0,3,5,9,1,0,-35500,6,5,30,8,3,0,0,3,0,59670,6630,6630,46410,13,28,1,5.226178714817228,-48252.479999999996,21,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2015,1,31,2001,11,29
343,52,629663,1,1000,1053.02,0,602402,1,0,9,3,1,0,0,1,0,708,2,1,0,0,2,0,47630,12990,4330,30310,12,11,1,3.7693174551923674,-34993.76,20,3,0,1,0,0,0,0,1,0,0,0,0,0,1,2015,2,16,2002,1,21
43,43,528385,1,500,1320.39,0,604861,1,0,1,19,1,0,0,6,0,624,16,1,0,2,1,0,79970,7270,21810,50890,6,8,1,5.0471199165903,-64125.32,29,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2015,1,19,1997,11,7
134,29,687698,0,2000,1413.14,5000000,430632,1,6,11,2,3,35100,0,1,1,685,7,3,0,2,3,0,34650,7700,3850,23100,4,30,0,2.043321963853546,-17692.32,18,1,0,0,0,1,0,0,0,1,1,0,0,0,0,2015,2,22,2000,9,6
135,30,913464,2,2000,1341.24,0,601701,1,4,4,16,5,37100,-46500,6,5,932,18,3,0,0,1,0,32670,5940,2970,23760,6,6,0,2.0298380603024064,-16575.12,22,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2015,1,19,2009,1,21
180,36,420948,1,500,1272.46,0,456959,0,1,9,8,5,0,0,1,4,152,7,3,1,2,1,0,69630,12660,6330,50640,12,11,0,4.560064756455999,-54360.479999999996,27,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,2,19,2015,1,3
228,42,342868,2,2000,1197.22,5000000,468176,0,4,6,15,2,0,0,5,5,628,8,1,0,0,0,0,5070,780,780,3510,8,12,1,0.35290088705501077,9296.64,18,2,0,0,1,1,0,0,0,1,1,0,0,1,0,2015,1,21,2006,6,27
399,55,984948,1,2000,995.56,0,464665,0,3,12,17,1,0,-65400,1,3,27,23,3,1,1,1,1,88400,17680,8840,61880,9,29,0,7.399520537854742,-76453.28,15,3,0,0,0,0,1,0,0,1,0,1,0,0,1,2015,2,7,1993,4,14
402,54,603632,0,2000,1285.09,0,444558,0,3,4,2,1,48000,-79600,1,6,466,19,1,0,0,2,1,67770,7530,15060,45180,8,24,1,4.394633838875099,-52348.92,12,3,0,1,0,1,0,0,1,0,0,0,0,1,0,2015,2,28,2003,8,16
125,31,205134,2,500,1220.86,0,436784,0,3,7,13,0,55400,-40400,1,0,962,4,1,1,1,2,0,4320,0,960,3360,10,2,0,0.29487410513900036,10330.32,22,1,1,0,0,1,0,0,0,1,0,0,1,0,1,2015,1,24,2012,12,2
232,44,221854,0,2000,1181.64,0,454552,0,1,7,8,5,25800,0,1,3,28,22,1,0,1,1,1,55400,5540,11080,38780,7,17,1,3.906999311691096,-41220.32,23,2,0,1,0,1,0,1,0,0,0,0,0,1,0,2015,2,8,1994,10,3
264,47,687639,2,2000,1181.46,10000000,601117,1,3,13,17,2,0,-67400,2,0,74,16,4,1,1,2,1,62370,5670,5670,51030,4,27,0,4.399217916814789,-48192.479999999996,24,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2015,2,12,2005,3,7
319,47,527945,2,500,1307.11,0,600648,0,1,13,7,1,0,0,6,4,191,22,3,0,0,2,0,59730,10860,10860,38010,1,4,0,3.8080192179694135,-44044.68,20,3,0,0,0,0,0,0,0,1,0,1,0,1,0,2015,2,17,1992,4,14
258,41,605100,1,500,1042.25,0,601206,0,5,3,15,4,0,-44400,0,5,208,0,3,0,2,3,0,81240,6770,20310,54160,8,7,1,6.495562485008396,-68733.0,17,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2015,2,8,2001,2,15
