months_as_customer,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,fraud_reported,loss_ratio,profitability,vehicle_age,incident_year,incident_month,incident_day,policy_bind_year,policy_bind_month,policy_bind_day,Parked Car,Single Vehicle Collision,Vehicle Theft,Rear Collision,Side Collision,Fire,None,Other,Police,Minor Damage,Total Loss,Trivial Damage,250/500,500/1000,age_group
276,2,2000,1090.32,0,1,1,5,0,0,-70400,4,1,17,1,0,1,2,0,51390,5710,5710,39970,13,20,1,3.9277459828307286,-38306.16,18,2015,1,5,2012,7,29,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
108,1,2000,1175.7,0,1,5,10,1,0,0,1,1,14,1,0,0,2,0,57330,6370,6370,44590,4,27,0,4.0635366164837965,-43221.6,19,2015,2,19,2005,12,9,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1
219,1,1000,1483.25,0,0,4,3,1,90700,-20800,0,5,3,3,0,1,1,0,70680,5890,11780,53010,5,16,0,3.971009607281308,-52881.0,16,2015,2,9,2010,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
310,1,500,1516.34,0,0,3,0,4,11000,0,4,6,11,4,1,0,2,0,59400,13200,6600,39600,10,2,1,3.2644393737552266,-41203.92,29,2015,1,4,1999,8,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
214,0,2000,987.42,7000000,0,0,6,3,0,0,1,6,17,3,0,0,3,0,47080,4280,8560,34240,10,2,0,3.973317669617117,-35230.96,19,2015,1,31,2000,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
151,1,1000,1728.56,0,0,5,4,3,54000,0,6,4,0,1,1,1,1,0,38830,3530,3530,31770,11,21,0,1.87198207371068,-18087.28,26,2015,2,8,1992,8,7,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2
188,2,500,1457.21,0,0,3,0,3,46300,0,4,1,6,1,0,2,0,1,45000,5000,5000,35000,11,15,0,2.5734108330302425,-27513.48,22,2015,1,17,1994,9,24,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
330,0,2000,1133.27,0,0,2,2,5,0,-56400,1,4,20,2,0,0,2,1,60500,11000,5500,44000,5,14,1,4.448778019948174,-46900.76,26,2015,3,1,2014,5,28,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3
271,2,500,1105.49,0,0,0,9,3,56200,-50000,4,2,12,2,0,2,3,0,68310,12420,6210,49680,1,4,1,5.149300310269654,-55044.119999999995,22,2015,2,20,2011,8,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
460,2,2000,1567.37,0,0,3,2,0,62500,0,1,5,10,1,0,2,3,0,58300,5830,11660,40810,9,26,1,3.0996722747872765,-39491.56,11,2015,2,15,1997,11,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
245,1,2000,1212.0,0,1,5,3,4,24400,-60500,1,6,4,1,1,0,1,1,73500,7350,14700,51450,7,36,0,5.053630363036303,-58956.0,26,2015,1,28,2013,8,26,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2
254,0,500,1581.27,5000000,0,6,5,3,42200,-48000,1,5,8,1,1,2,2,0,63470,5770,11540,46160,2,38,0,3.3448852293831335,-44494.76,26,2015,1,7,1995,12,22,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2
352,0,500,1793.16,0,1,0,12,5,0,0,0,5,23,1,1,2,2,0,68750,12500,6250,50000,3,25,0,3.195011413742592,-47232.08,16,2015,1,15,2013,7,12,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3
208,2,2000,1209.41,5000000,1,3,6,5,0,0,1,1,15,3,1,0,1,0,62810,11420,11420,39970,9,35,0,4.327867858432348,-48297.08,26,2015,2,16,1995,10,8,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2
209,2,500,1355.08,0,0,4,7,2,58100,0,6,4,21,1,0,1,1,0,47300,4730,4730,37840,9,29,0,2.908807352087454,-31039.04,11,2015,1,19,2009,11,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
290,1,500,989.97,0,1,5,6,3,32500,0,6,2,10,1,0,0,1,0,48000,4800,9600,33600,10,3,0,4.040526480600422,-36120.36,12,2015,1,20,2014,1,20,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2
228,1,500,1450.98,0,1,0,3,0,43700,0,6,3,20,1,0,0,2,0,6050,1100,1100,3850,12,9,0,0.34746631012602974,11361.760000000002,15,2015,1,18,1997,3,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2
460,2,2000,1567.37,0,0,3,2,0,62500,0,1,5,10,1,0,2,3,0,58300,5830,11660,40810,9,26,1,3.0996722747872765,-39491.56,11,2015,2,15,1997,11,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
274,2,2000,1352.31,0,1,1,4,5,40700,-47300,1,3,22,1,1,0,3,1,63840,10640,10640,42560,2,37,1,3.934009213863685,-47612.28,19,2015,2,6,2001,5,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
169,1,500,1469.75,0,0,3,11,1,0,-57600,5,0,0,1,0,0,0,1,38700,7740,3870,27090,13,28,0,2.19425072291206,-21063.0,13,2015,1,16,1996,7,21,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
256,2,1000,1351.1,0,0,6,12,4,0,0,4,0,19,3,0,0,2,0,64100,6410,6410,51280,10,3,1,3.9535686971109962,-47886.8,22,2015,1,2,2006,10,12,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2
54,1,500,1261.28,0,0,4,10,4,68500,-42100,5,6,21,3,1,2,0,0,79090,14380,7190,57520,9,26,0,5.225511649541207,-63954.64,13,2015,2,25,2010,9,27,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
159,1,2000,1462.76,0,0,1,2,0,69200,-36900,1,1,23,3,1,2,0,0,44880,8160,4080,32640,8,7,1,2.556810413191501,-27326.88,21,2015,2,24,2007,7,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
101,0,1000,433.33,0,1,5,6,2,25900,0,4,2,7,1,0,0,3,0,5900,1180,590,4130,8,12,0,1.134624112493173,-700.04,16,2015,1,2,2007,2,10,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
328,2,1000,1406.91,0,1,4,2,0,53300,0,4,1,5,1,1,1,2,1,71610,6510,13020,52080,10,1,1,4.241564847786994,-54727.08,21,2015,1,25,2014,10,17,0,1,0,0,1,0,0,0,1,0,0,0,1,0,3
478,2,500,835.02,0,0,0,0,4,59600,0,6,2,17,3,0,1,1,0,33930,0,3770,30160,2,38,0,3.386146439606237,-23909.760000000002,27,2015,2,2,1990,8,20,0,0,0,0,1,1,0,0,0,1,0,0,1,0,4
414,1,500,1335.13,0,0,2,4,4,44000,-71000,4,3,13,1,1,1,1,0,54810,6090,6090,42630,3,32,1,3.421015182042198,-38788.44,26,2015,1,7,2003,2,13,0,1,0,1,0,0,0,0,1,0,1,0,0,1,3
140,2,2000,1554.86,6000000,0,3,1,5,59000,0,6,0,2,1,1,1,2,0,6120,680,680,4760,6,10,1,0.3280038074167449,12538.32,23,2015,2,16,1997,5,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
328,0,500,1314.6,0,0,4,9,1,24800,0,6,2,0,1,0,2,3,0,70290,12780,6390,51120,10,1,1,4.455727978092195,-54514.8,27,2015,2,23,1996,6,19,0,1,0,1,0,0,0,1,0,0,1,0,0,1,3
210,1,500,999.52,0,1,3,12,2,0,0,5,6,6,1,0,1,2,0,8640,1440,720,6480,0,33,0,0.7203457659676645,3354.24,17,2015,1,13,1998,12,19,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2
65,0,1000,1726.91,0,1,2,7,3,0,0,5,2,14,1,0,0,0,0,7200,720,1440,5040,1,5,0,0.34744138374321765,13522.920000000002,26,2015,1,28,1990,8,9,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1
289,2,2000,1221.41,0,0,5,4,5,46700,-72500,6,5,9,1,0,2,1,0,2700,300,300,2100,6,6,0,0.18421332722017994,11956.920000000002,19,2015,2,27,1999,10,28,0,0,1,1,0,0,0,0,1,0,0,1,1,0,2
438,2,500,1119.29,0,0,4,6,0,0,0,4,2,14,1,0,0,0,0,40700,4070,4070,32560,13,28,1,3.0301947365442974,-27268.52,25,2015,1,15,1991,10,5,0,1,0,0,1,0,0,0,1,1,0,0,0,1,4
80,0,2000,1075.18,5000000,0,6,1,0,67700,-58400,2,4,5,1,0,2,0,1,6930,1260,630,5040,12,18,0,0.5371193660596365,5972.16,24,2015,2,21,2012,3,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
436,2,2000,1407.01,5000000,1,6,12,2,47400,-27600,6,5,10,1,0,0,2,0,59900,11980,5990,41930,2,37,1,3.547712288232967,-43015.880000000005,28,2015,1,10,2002,4,30,0,1,0,1,0,0,0,0,1,0,0,0,1,0,4
421,1,500,1935.85,4000000,1,5,6,3,49500,-81100,1,2,7,1,0,2,3,0,92730,16860,8430,67440,8,12,1,3.991786553710257,-69499.8,21,2015,1,12,1990,2,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
101,0,500,895.14,0,1,3,11,2,52600,-30400,4,1,4,1,0,0,3,1,43600,8720,4360,30520,11,21,0,4.05895539617639,-32858.32,15,2015,1,10,2002,1,23,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
4,0,1000,1326.98,6000000,0,2,6,4,64200,0,5,3,14,3,1,1,3,0,54120,4510,9020,40590,7,17,0,3.3986947806297003,-38196.24,18,2015,1,13,1996,9,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
255,0,500,1302.34,0,0,3,9,3,0,-52600,6,4,2,3,0,1,0,0,57860,5260,10520,42080,13,20,0,3.7023102006132556,-42231.92,14,2015,1,12,2006,11,25,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3
259,0,2000,1175.07,0,1,4,2,1,30100,0,6,6,23,1,0,1,1,0,87780,7980,7980,71820,6,8,0,6.225161054235067,-73679.16,14,2015,1,3,2006,12,21,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2
405,0,500,878.19,0,1,6,6,4,57100,0,0,3,2,4,1,0,2,0,38640,4830,4830,28980,3,34,0,3.666632505494255,-28101.72,28,2015,3,1,1999,7,5,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3
194,1,500,823.17,0,1,5,0,3,0,0,6,1,3,3,0,2,2,0,61500,6150,12300,43050,4,30,0,6.225931460087224,-51621.96,13,2015,2,23,2005,7,27,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
230,0,1000,1060.74,0,1,6,12,3,0,-51500,4,1,15,1,1,2,3,0,49100,9820,4910,34370,11,19,1,3.8573700121298966,-36371.119999999995,29,2015,1,9,2005,4,11,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2
246,1,1000,1416.08,0,0,3,2,2,0,-36600,6,4,16,1,1,0,3,0,45180,5020,5020,35140,6,8,0,2.6587480933280605,-28187.04,21,2015,1,27,2007,4,19,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2
293,0,2000,1239.06,0,0,3,13,0,34900,0,4,5,19,1,0,1,1,0,57310,5210,10420,41680,13,28,0,3.8544003787817647,-42441.28,23,2015,1,10,1995,12,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3
205,0,2000,1387.7,4000000,0,2,8,2,0,0,6,1,19,1,0,2,1,0,86130,15660,15660,54810,3,32,0,5.172227426677235,-69477.6,30,2015,1,18,2008,2,3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2
146,2,2000,1233.96,0,0,5,7,2,34500,-60600,0,2,16,3,0,1,1,0,55900,5590,5590,44720,9,35,0,3.7751088636044385,-41092.479999999996,10,2015,2,5,2013,4,12,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2
317,1,1000,1012.78,0,1,4,11,2,43700,0,6,0,18,1,0,2,1,0,104610,19020,19020,66570,8,24,1,8.60749619858212,-92456.64,26,2015,1,26,1999,7,22,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3
107,1,500,1239.22,7000000,0,2,12,1,43400,-91200,4,6,12,1,1,0,1,0,89700,13800,13800,62100,1,5,1,6.032020141702039,-74829.36,16,2015,1,30,2011,8,17,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
107,2,500,974.59,0,0,3,1,5,62800,0,1,0,14,3,0,1,0,0,59700,11940,11940,35820,9,35,0,5.104710698857981,-48004.92,23,2015,1,18,2014,5,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
101,0,1000,1313.64,0,0,1,8,4,12100,0,1,2,3,1,1,1,0,0,4290,780,390,3120,1,4,0,0.272144575378338,11473.68,28,2015,2,10,1991,9,3,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
80,2,500,795.31,0,1,3,4,0,0,-51000,2,0,16,3,1,1,3,0,40810,3710,7420,29680,5,14,1,4.276110363673704,-31266.28,25,2015,2,12,2014,9,17,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
257,1,1000,974.84,0,0,3,13,2,52100,0,5,3,0,1,0,0,1,1,85320,21330,7110,56880,9,29,0,7.293504575109762,-73621.92,19,2015,2,26,1992,5,19,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2
117,2,500,1264.77,0,0,0,13,4,47500,-32500,4,6,13,2,1,0,1,0,55440,5040,10080,40320,11,15,1,3.652838065419009,-40262.76,16,2015,2,5,2003,4,21,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
88,1,1000,1194.0,0,0,3,5,0,0,0,4,4,6,1,1,1,2,1,66780,7420,7420,51940,5,13,1,4.660804020100502,-52452.0,12,2015,2,13,2007,10,25,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
285,1,500,1389.13,0,1,0,8,1,63100,-79400,5,2,13,1,0,0,3,0,52700,5270,10540,36890,12,11,0,3.1614511720765273,-36030.44,20,2015,1,23,1991,3,20,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2
438,2,500,1119.29,0,0,4,6,0,0,0,4,2,14,1,0,0,0,0,40700,4070,4070,32560,13,28,1,3.0301947365442974,-27268.52,25,2015,1,15,1991,10,5,0,1,0,0,1,0,0,0,1,1,0,0,0,1,4
146,2,2000,1082.72,0,0,6,6,1,61400,-57500,4,3,3,1,1,2,0,0,5220,580,580,4060,0,23,0,0.4017659228609428,7772.639999999999,10,2015,1,15,1997,9,16,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
96,1,1000,1274.7,5000000,1,1,9,2,47500,-58700,0,6,15,3,1,2,3,1,55400,5540,11080,38780,3,32,1,3.621767213200491,-40103.6,21,2015,1,11,2006,12,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
245,1,500,885.08,0,0,5,1,2,27000,-58900,6,3,0,1,1,0,1,0,85150,13100,13100,58950,3,25,0,8.017166056552327,-74529.04,27,2015,2,6,2001,9,14,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2
371,1,1000,1569.33,0,1,6,6,1,79600,0,6,6,2,3,0,2,1,1,84500,13000,13000,58500,13,28,1,4.48705286119979,-65668.04000000001,14,2015,1,29,1994,2,10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
84,1,2000,1827.38,0,1,0,8,2,0,-15900,5,6,9,1,1,1,3,0,4620,420,840,3360,1,5,0,0.21068414889076162,17308.56,27,2015,1,15,1995,7,17,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
398,2,500,990.98,0,0,0,3,5,0,-57900,0,4,18,1,1,2,1,0,99320,7640,15280,76400,0,33,1,8.352001722200919,-87428.24,23,2015,2,2,2000,11,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
30,0,2000,1153.35,0,1,6,2,1,0,0,1,2,9,1,0,2,1,1,5760,960,960,3840,11,19,0,0.41617895695148915,8080.199999999999,14,2015,2,2,2012,6,2,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1
140,0,500,1354.2,0,0,1,0,5,100500,0,4,1,4,4,0,0,0,0,60170,5470,10940,43760,9,29,0,3.702678087923989,-43919.6,19,2015,2,10,2014,6,15,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
282,2,500,1452.27,0,1,4,4,1,75800,0,4,3,19,1,0,1,2,0,46800,4680,9360,32760,1,5,1,2.6854510524902397,-29372.760000000002,18,2015,1,8,2006,7,19,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2
380,2,1000,1570.86,0,1,4,4,2,66000,0,5,3,10,1,0,0,1,1,58160,7270,7270,43620,10,3,1,3.0853587631403605,-39309.68,29,2015,1,5,2004,11,4,0,1,0,0,1,0,0,0,1,0,1,0,0,0,4
157,2,2000,617.11,0,1,1,7,2,0,-54100,5,1,14,3,0,1,2,0,50800,10160,5080,35560,8,12,1,6.859933129155796,-43394.68,12,2015,1,2,2009,10,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
107,1,500,1239.22,7000000,0,2,12,1,43400,-91200,4,6,12,1,1,0,1,0,89700,13800,13800,62100,1,5,1,6.032020141702039,-74829.36,16,2015,1,30,2011,8,17,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1
171,1,2000,1277.25,0,0,1,3,2,84900,0,1,6,14,1,0,1,2,0,69200,13840,6920,48440,13,28,1,4.514908331702225,-53873.0,29,2015,1,19,1997,2,18,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
310,2,1000,845.16,0,0,5,8,2,0,0,0,3,21,1,1,1,0,0,55170,6130,6130,42910,1,5,1,5.439798381371575,-45028.08,20,2015,2,25,2002,7,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
125,2,500,1054.83,7000000,1,3,12,0,0,-51300,1,3,17,1,1,2,3,0,88660,8060,16120,64480,8,7,1,7.004288210738539,-76002.04000000001,18,2015,2,25,1996,7,7,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
225,2,500,1390.72,0,1,5,12,2,83900,-52100,4,4,6,1,1,2,1,1,5830,1060,530,4240,9,29,0,0.34933943089430897,10858.64,14,2015,2,20,1996,4,8,1,0,0,1,0,0,1,0,0,0,0,1,1,0,2
165,1,500,1399.26,0,0,2,12,3,70500,0,3,4,9,1,0,2,0,0,3960,330,660,2970,2,22,0,0.2358389434415334,12831.119999999999,27,2015,2,8,2012,6,4,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
85,1,1000,1454.42,0,1,0,10,2,51600,-73900,1,6,19,1,1,0,1,1,74280,12380,12380,49520,11,15,1,4.255992079316841,-56826.96,19,2015,1,31,1993,10,29,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
330,0,2000,1133.27,0,0,2,2,5,0,-56400,1,4,20,2,0,0,2,1,60500,11000,5500,44000,5,14,1,4.448778019948174,-46900.76,26,2015,3,1,2014,5,28,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3
22,1,2000,1238.62,6000000,1,4,3,2,0,-56200,4,6,14,1,0,2,3,0,70800,7080,14160,49560,0,23,1,4.763365681161293,-55936.56,13,2015,2,14,1994,6,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
61,0,2000,1136.83,4000000,0,0,12,3,0,-62400,1,1,14,1,0,0,3,0,98340,8940,17880,71520,6,6,1,7.2086415734982365,-84698.04000000001,21,2015,2,2,1993,6,6,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
218,0,500,1521.55,0,0,0,8,2,61100,-64500,4,2,18,1,0,1,3,1,68200,13640,6820,47740,4,30,1,3.735226140010735,-49941.4,22,2015,1,2,1996,2,14,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2
370,1,2000,1389.13,7000000,1,3,7,5,0,-53200,0,4,6,1,0,0,2,0,9000,900,1800,6300,8,24,0,0.5399062722711336,7669.560000000001,10,2015,2,17,2012,12,22,0,0,1,1,0,0,1,0,0,1,0,0,0,1,3
134,2,2000,1443.32,0,0,6,3,4,0,0,4,3,19,3,0,0,2,1,47790,5310,5310,37170,11,19,1,2.7592633650195384,-30470.16,30,2015,1,7,2007,9,28,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
81,1,500,920.3,5000000,0,2,12,3,51000,-67900,6,2,11,3,0,1,0,0,73920,13440,6720,53760,6,10,1,6.693469520808433,-62876.4,22,2015,2,21,2014,2,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
120,0,1000,1281.27,0,0,6,12,1,68900,0,4,6,9,3,0,0,3,0,65500,6550,6550,52400,2,37,0,4.260096102564903,-50124.76,15,2015,1,7,2009,2,6,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
66,0,1000,988.29,0,1,1,1,3,0,0,1,3,8,1,0,2,2,1,57860,0,10520,47340,11,19,1,4.878797384033701,-46000.520000000004,17,2015,2,2,1998,11,13,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
2,1,1000,1189.98,4000000,0,2,2,2,0,-54700,6,1,22,1,0,1,3,1,48360,4030,8060,36270,1,5,0,3.3866115396897425,-34080.24,25,2015,2,1,2003,3,9,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
135,1,2000,1341.24,0,0,4,4,5,37100,-46500,6,5,18,3,0,0,1,0,32670,5940,2970,23760,6,6,0,2.0298380603024064,-16575.12,22,2015,1,19,2009,1,21,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
193,2,500,1233.85,0,0,1,5,0,0,0,3,2,23,3,0,2,1,1,64260,0,14280,49980,5,13,0,4.340073752887304,-49453.8,26,2015,2,28,2005,2,25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
186,2,2000,1218.56,0,0,5,13,0,39300,-60300,5,0,23,3,1,2,2,0,68760,11460,5730,51570,10,3,1,4.7022715336134455,-54137.28,27,2015,3,1,2006,4,21,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2
253,2,2000,1312.75,0,0,6,11,2,81300,0,4,6,10,3,0,2,2,1,80740,7340,14680,58720,12,9,1,5.125372944835904,-64987.0,11,2015,1,1,2013,4,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
120,1,500,956.69,0,0,0,8,0,39600,-64300,1,2,20,1,0,1,1,1,87100,8710,8710,69680,10,1,0,7.586922967035647,-75619.72,25,2015,2,6,2002,7,16,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
197,2,1000,1324.78,0,0,6,9,1,0,-64500,0,4,6,1,0,2,2,1,76400,15280,7640,53480,13,20,1,4.805829395572598,-60502.64,28,2015,1,10,1996,6,27,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2
235,0,2000,1453.61,4000000,1,3,2,2,0,0,0,2,10,1,0,0,3,0,60320,9280,9280,41760,3,34,1,3.4580572964321012,-42876.68,13,2015,1,13,2013,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2
270,0,2000,1030.95,0,0,0,6,2,47200,0,0,3,20,3,0,1,0,0,35900,7180,3590,25130,1,4,1,2.9018542767997153,-23528.6,18,2015,2,3,2003,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
290,2,1000,1311.3,0,0,0,6,5,38500,0,1,2,23,3,1,0,0,1,52650,5850,5850,40950,5,14,1,3.345916266300618,-36914.4,24,2015,1,10,1991,7,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
24,0,1000,1922.84,0,0,2,6,5,0,-45200,6,3,0,1,0,2,1,0,46800,4680,9360,32760,7,36,0,2.0282498803852635,-23725.920000000002,23,2015,1,24,1996,1,19,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1
463,0,500,1063.67,0,1,5,8,5,0,0,1,6,14,1,0,2,0,1,59400,6600,6600,46200,4,27,0,4.653698985587635,-46635.96,30,2015,2,3,1991,7,20,0,1,0,0,0,0,0,0,1,1,0,0,1,0,4
